GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TableNameContext,7,21,2,2,2,6,4,3,2,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.NumericLiteralContext,32,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PlpgsqlBlockContext,38,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TriggerEventContext,32,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.AlterActionContext,98,0,4,0,21,0,20,0,18,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.IndexOptionsClauseContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DeleteStatementContext,40,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.LimitClauseContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TriggerTimingContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.WhereClauseContext,29,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ColumnNameContext,7,21,2,2,2,6,4,3,2,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateViewStatementContext,44,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionClauseContext,24,21,2,2,5,6,7,3,5,3
SQLDomainGen,com.sqldomaingen.util,NamingConverter,7,146,0,16,2,41,1,14,1,6
SQLDomainGen,com.sqldomaingen.util,TypeMapper,20,267,3,3,5,55,4,2,1,2
SQLDomainGen,com.sqldomaingen.generator,EntityGenerator,93,291,7,13,21,64,7,16,1,11
SQLDomainGen,com.sqldomaingen.generator,RelationshipResolver,28,164,4,18,9,41,4,15,0,8
SQLDomainGen,com.sqldomaingen.shell,GeneratorCommands,21,185,3,13,7,50,3,11,0,6
